resume_text,category
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 0. Additional skills include problem-solving, teamwork, and communication.                             ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 1. Additional skills include problem-solving, teamwork, and communication.                     ",Frontend Developer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 2. Additional skills include problem-solving, teamwork, and communication.                   ",Machine Learning Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 3. Additional skills include problem-solving, teamwork, and communication.           ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 4. Additional skills include problem-solving, teamwork, and communication.                                    ",Frontend Developer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 5. Additional skills include problem-solving, teamwork, and communication.                        ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 6. Additional skills include problem-solving, teamwork, and communication.                      ",Product Manager
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 7. Additional skills include problem-solving, teamwork, and communication.  ",DevOps Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 8. Additional skills include problem-solving, teamwork, and communication.                                            ",Frontend Developer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 9. Additional skills include problem-solving, teamwork, and communication.  ",Data Analyst
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 10. Additional skills include problem-solving, teamwork, and communication.                                 ",DevOps Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 11. Additional skills include problem-solving, teamwork, and communication.                      ",Full Stack Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 12. Additional skills include problem-solving, teamwork, and communication.                                                 ",Backend Developer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 13. Additional skills include problem-solving, teamwork, and communication.                            ",Full Stack Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 14. Additional skills include problem-solving, teamwork, and communication.                                            ",Product Manager
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 15. Additional skills include problem-solving, teamwork, and communication.   ",Machine Learning Engineer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 16. Additional skills include problem-solving, teamwork, and communication.       ",DevOps Engineer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 17. Additional skills include problem-solving, teamwork, and communication.         ",DevOps Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 18. Additional skills include problem-solving, teamwork, and communication.                  ",Machine Learning Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 19. Additional skills include problem-solving, teamwork, and communication.                         ",UX Designer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 20. Additional skills include problem-solving, teamwork, and communication.         ",Software Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 21. Additional skills include problem-solving, teamwork, and communication.  ",Full Stack Developer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 22. Additional skills include problem-solving, teamwork, and communication.                            ",UX Designer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 23. Additional skills include problem-solving, teamwork, and communication.                                            ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 24. Additional skills include problem-solving, teamwork, and communication.                                               ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 25. Additional skills include problem-solving, teamwork, and communication.              ",Product Manager
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 26. Additional skills include problem-solving, teamwork, and communication.                                    ",Data Scientist
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 27. Additional skills include problem-solving, teamwork, and communication.                                        ",Software Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 28. Additional skills include problem-solving, teamwork, and communication.  ",UX Designer
"Data analyst with strong SQL skills, experience in Tableau, Power BI, statistical analysis, and business intelligence reporting. Candidate ID: 29. Additional skills include problem-solving, teamwork, and communication.                                          ",Data Analyst
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 30. Additional skills include problem-solving, teamwork, and communication.                             ",UX Designer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 31. Additional skills include problem-solving, teamwork, and communication.                          ",Software Engineer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 32. Additional skills include problem-solving, teamwork, and communication.          ",Software Engineer
"UX designer proficient in Figma, user research, wireframing, prototyping, and usability testing. Created intuitive interfaces for web and mobile applications. Candidate ID: 33. Additional skills include problem-solving, teamwork, and communication.              ",UX Designer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 34. Additional skills include problem-solving, teamwork, and communication.              ",Frontend Developer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 35. Additional skills include problem-solving, teamwork, and communication.                                        ",Machine Learning Engineer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 36. Additional skills include problem-solving, teamwork, and communication.                ",DevOps Engineer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 37. Additional skills include problem-solving, teamwork, and communication.                                               ",Software Engineer
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 38. Additional skills include problem-solving, teamwork, and communication.                        ",DevOps Engineer
"Full stack developer proficient in MERN stack, GraphQL, database design, and end-to-end web application development. Candidate ID: 39. Additional skills include problem-solving, teamwork, and communication.                         ",Full Stack Developer
"Backend developer with expertise in Node.js, PostgreSQL, Redis, API design, and building scalable distributed systems. Candidate ID: 40. Additional skills include problem-solving, teamwork, and communication.                             ",Backend Developer
"Experienced data scientist with expertise in machine learning, Python, TensorFlow, and statistical analysis. Led multiple projects in predictive modeling and data visualization. Candidate ID: 41. Additional skills include problem-solving, teamwork, and communication.                         ",Data Scientist
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 42. Additional skills include problem-solving, teamwork, and communication.         ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 43. Additional skills include problem-solving, teamwork, and communication. ",Frontend Developer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 44. Additional skills include problem-solving, teamwork, and communication.                        ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 45. Additional skills include problem-solving, teamwork, and communication.                 ",Product Manager
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 46. Additional skills include problem-solving, teamwork, and communication.                                   ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 47. Additional skills include problem-solving, teamwork, and communication.                                 ",Product Manager
"DevOps engineer skilled in CI/CD pipelines, Kubernetes, Terraform, monitoring systems, and infrastructure automation using Python and Bash scripting. Candidate ID: 48. Additional skills include problem-solving, teamwork, and communication.                                          ",DevOps Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 49. Additional skills include problem-solving, teamwork, and communication.                                         ",Machine Learning Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 50. Additional skills include problem-solving, teamwork, and communication.         ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 51. Additional skills include problem-solving, teamwork, and communication.            ",Frontend Developer
"Software engineer specializing in backend development with Java, Spring Boot, microservices architecture, and cloud technologies including AWS and Docker. Candidate ID: 52. Additional skills include problem-solving, teamwork, and communication.                                 ",Software Engineer
"Machine learning engineer with deep learning expertise, PyTorch, computer vision, NLP, and deployment of ML models at scale. Candidate ID: 53. Additional skills include problem-solving, teamwork, and communication.                       ",Machine Learning Engineer
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 54. Additional skills include problem-solving, teamwork, and communication.                                     ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 55. Additional skills include problem-solving, teamwork, and communication.                                            ",Product Manager
"Frontend developer specializing in React, TypeScript, modern CSS, responsive design, and performance optimization for web applications. Candidate ID: 56. Additional skills include problem-solving, teamwork, and communication.                      ",Frontend Developer
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 57. Additional skills include problem-solving, teamwork, and communication. ",Product Manager
"Product manager with 5+ years experience in agile methodologies, user research, product strategy, and cross-functional team leadership. Candidate ID: 58. Additional skills include problem-solving, teamwork, and communication.                                     ",Product Manager
